이름,본인과의관계,재산구분,재산의 종류,소재지 면적 등 권리의 명세,현재가액,건물주소,건물면적,Latitude,Longitude
박태형,배우자,건물,공장,"경기도 포천시 어룡동 건물 1,901.16㎡ 중 950.58㎡",64649.0,경기도 포천시 어룡동,"건물 1,901.16㎡ 중 950.58㎡",37.8863367059279,127.18017028937
백종헌,본인,건물,공장,"경상남도 양산시 산막동 대지 10,380.40㎡ 건물1,520.94㎡ (건물 180.00㎡ 증가)",6498561.0,경상남도 양산시 산막동,"대지 10,380.40㎡ 건물1,520.94㎡ (건물 180.00㎡ 증가)",35.3736432564714,129.057929327709
강기윤,배우자,건물,공장,"경상남도 창원시 의창구 팔용동 대지 2,532.70㎡ 건물1,979.08㎡",2471737.0,경상남도 창원시 의창구 팔용동,"대지 2,532.70㎡ 건물1,979.08㎡",35.2541369944155,128.612147059153
이인선,본인,건물,공장,"대구광역시 달서구 장기동 대지 1,011.00㎡ 중 252.75㎡건물 609.76㎡ 중 152.44㎡",458862.0,대구광역시 달서구 장기동,"대지 1,011.00㎡ 중 252.75㎡건물 609.76㎡ 중 152.44㎡",35.8433493267253,128.530035888982
이인선,배우자,건물,공장,"대구광역시 달서구 장기동 대지 1,011.00㎡ 중 252.75㎡건물 609.76㎡ 중 152.44㎡",458862.0,대구광역시 달서구 장기동,"대지 1,011.00㎡ 중 252.75㎡건물 609.76㎡ 중 152.44㎡",35.8433493267253,128.530035888982
백종헌,본인,건물,공장,"부산광역시 금정구 회동동 (주)백산금속 대지 1,017.80㎡건물 815.78㎡",1662275.0,부산광역시 금정구 회동동,"(주)백산금속 대지 1,017.80㎡건물 815.78㎡",35.2334758158297,129.123839171603
백종헌,본인,건물,공장,부산광역시 금정구 회동동 (주)백산금속 대지 518.40㎡건물 893.97㎡,953972.0,부산광역시 금정구 회동동,(주)백산금속 대지 518.40㎡건물 893.97㎡,35.2334758158297,129.123839171603
소병철,배우자,건물,공장,"전라남도 여수시 덕충동 대지 2,093.00㎡ 중 523.20㎡ 건물430.70㎡ 중 107.67㎡",246558.0,전라남도 여수시 덕충동,"대지 2,093.00㎡ 중 523.20㎡ 건물430.70㎡ 중 107.67㎡",34.7576132560783,127.741274487447
안병길,배우자,건물,교육연구 및복지시설,부산광역시 해운대구광역시 좌동 상록아파트 대지753.40㎡ 건물 804.67㎡,2023828.0,부산광역시 해운대구광역시 좌동,상록아파트 대지753.40㎡ 건물 804.67㎡,,
안병길,배우자,건물,교육연구 및복지시설,부산광역시 해운대구광역시 좌동 해운대대우1차아파트대지 853.91㎡ 건물 633.74㎡,2311822.0,부산광역시 해운대구광역시 좌동,해운대대우1차아파트대지 853.91㎡ 건물 633.74㎡,,
이철규,본인,건물,근린생활시설,강원도 동해시 북평동 대지 588.00㎡ 건물 44.10㎡,390917.0,강원도 동해시 북평동,대지 588.00㎡ 건물 44.10㎡,37.4838308233309,129.125223115384
고재학,배우자,건물,근린생활시설,경기도 고양시 일산서구 대화동 우리프라자 대지 201.39㎡건물 69.14㎡,600000.0,경기도 고양시 일산서구 대화동,우리프라자 대지 201.39㎡건물 69.14㎡,37.6829848694343,126.755141409924
송병철,배우자,건물,근린생활시설,"경기도 고양시 일산서구 덕이동 건물 60.00㎡ 중 16.36㎡ (건물 총면적 60.00㎡ 증가, 지분면적 16.36㎡ 증가)",6316.0,경기도 고양시 일산서구 덕이동,"건물 60.00㎡ 중 16.36㎡ (건물 총면적 60.00㎡ 증가, 지분면적 16.36㎡ 증가)",37.6957282376739,126.738350133303
송병철,배우자,건물,근린생활시설,"경기도 고양시 일산서구 덕이동 건물 74.45㎡ 중 20.30㎡ (건물 총면적 74.45㎡ 증가, 지분면적 20.30㎡ 증가)",6862.0,경기도 고양시 일산서구 덕이동,"건물 74.45㎡ 중 20.30㎡ (건물 총면적 74.45㎡ 증가, 지분면적 20.30㎡ 증가)",37.6957282376739,126.738350133303
이학영,배우자,건물,근린생활시설,경기도 군포시 금정동 명산빌딩 대지 131.04㎡ 중 27.69㎡건물 769.00㎡ 중 131.04㎡,245000.0,경기도 군포시 금정동,명산빌딩 대지 131.04㎡ 중 27.69㎡건물 769.00㎡ 중 131.04㎡,37.3653967180722,126.939356947385
서영석,본인,건물,근린생활시설,경기도 부천시 고강동 건물 351.00㎡ 중 175.50㎡,277817.0,경기도 부천시 고강동,건물 351.00㎡ 중 175.50㎡,37.5295501272999,126.812115826118
김철민,본인,건물,근린생활시설,경기도 시흥시 정왕동 대지 539.30㎡ 건물 689.13㎡,1636159.0,경기도 시흥시 정왕동,대지 539.30㎡ 건물 689.13㎡,37.3472707997814,126.722129562609
김철민,본인,건물,근린생활시설,"경기도 시흥시 정왕동 한일프라자 대지 1,228.90㎡ 중13.71㎡ 건물 34.30㎡",65490.0,경기도 시흥시 정왕동,"한일프라자 대지 1,228.90㎡ 중13.71㎡ 건물 34.30㎡",37.3472707997814,126.722129562609
김철민,본인,건물,근린생활시설,경기도 안산시 상록구 본오동 상림프라자 대지 849.60㎡중 7.38㎡ 건물 41.81㎡ 중 20.90㎡,54074.0,경기도 안산시 상록구 본오동,상림프라자 대지 849.60㎡중 7.38㎡ 건물 41.81㎡ 중 20.90㎡,37.2891939602882,126.864590815243
