이름,본인과의관계,재산구분,재산의 종류,소재지 면적 등 권리의 명세,현재가액,토지주소,토지면적,Latitude,Longitude
박태형,배우자,토지,공장용지,"경기도 포천시 어룡동 281-2번지 3,930.00㎡ 중 845.44㎡",233172.0,경기도 포천시 어룡동 281-2번지,"3,930.00㎡ 중 845.44㎡",37.88044515872,127.183892453667
박태형,본인,토지,공장용지,"경기도 포천시 어룡동 281-2번지 3,930.00㎡ 중1,119.56㎡",308774.0,경기도 포천시 어룡동 281-2번지,"3,930.00㎡ 중1,119.56㎡",37.88044515872,127.183892453667
박태형,배우자,토지,공장용지,"경기도 포천시 어룡동 281-5번지 2,540.00㎡ 중 776.47㎡",223235.0,경기도 포천시 어룡동 281-5번지,"2,540.00㎡ 중 776.47㎡",37.8804571721221,127.184333631791
박태형,본인,토지,공장용지,"경기도 포천시 어룡동 281-5번지 2,540.00㎡ 중1,052.33㎡",302544.0,경기도 포천시 어룡동 281-5번지,"2,540.00㎡ 중1,052.33㎡",37.8804571721221,127.184333631791
한무경,본인,토지,공장용지,"경상북도 경산시 남산면 전지리 645번지 1,120.00㎡",196784.0,경상북도 경산시 남산면 전지리 645번지,"1,120.00㎡",35.788082605088,128.814688813075
한무경,본인,토지,공장용지,경상북도 경산시 남산면 전지리 648번지 313.00㎡,54994.0,경상북도 경산시 남산면 전지리 648번지,313.00㎡,35.7885972080236,128.814624977186
한무경,본인,토지,공장용지,경상북도 경산시 남산면 전지리 649번지 360.00㎡,63252.0,경상북도 경산시 남산면 전지리 649번지,360.00㎡,35.7886245771647,128.814453510169
한무경,본인,토지,공장용지,"경상북도 경산시 남산면 전지리 650번지 1,921.00㎡",337519.0,경상북도 경산시 남산면 전지리 650번지,"1,921.00㎡",35.788285082769,128.814426436662
한무경,본인,토지,공장용지,"경상북도 경산시 남산면 전지리 651번지 1,010.00㎡",177457.0,경상북도 경산시 남산면 전지리 651번지,"1,010.00㎡",35.7882168607132,128.81416420906
정희용,본인,토지,공장용지,경상북도 칠곡군 왜관읍 770-8번지 237.00㎡ 중 118.50㎡,49805.0,경상북도 칠곡군 왜관읍 770-8번지,237.00㎡ 중 118.50㎡,35.9605595796972,128.399334251314
정희용,본인,토지,공장용지,경상북도 칠곡군 왜관읍 773번지 655.00㎡ 중 327.50㎡,63076.0,경상북도 칠곡군 왜관읍 773번지,655.00㎡ 중 327.50㎡,35.905769668724,128.407779397287
정희용,본인,토지,공장용지,"경상북도 칠곡군 왜관읍 금산리 770-4번지 0.00㎡ 중 0.00㎡ (총면적 0.00㎡ 감소, 지분면적 0.00㎡ 감소)",0.0,경상북도 칠곡군 왜관읍 금산리 770-4번지,"0.00㎡ 중 0.00㎡ (총면적 0.00㎡ 감소, 지분면적 0.00㎡ 감소)",35.9608360490401,128.39994500415
정희용,본인,토지,공장용지,"경상북도 칠곡군 왜관읍 금산리 770-4번지 2,465.00㎡ 중1,232.50㎡",502983.0,경상북도 칠곡군 왜관읍 금산리 770-4번지,"2,465.00㎡ 중1,232.50㎡",35.9608360490401,128.39994500415
정희용,본인,토지,공장용지,"경상북도 칠곡군 왜관읍 금산리 770-8번지 0.00㎡ 중 0.00㎡ (총면적 0.00㎡ 감소, 지분면적 0.00㎡ 감소)",0.0,경상북도 칠곡군 왜관읍 금산리 770-8번지,"0.00㎡ 중 0.00㎡ (총면적 0.00㎡ 감소, 지분면적 0.00㎡ 감소)",35.9605595796972,128.399334251314
정희용,본인,토지,공장용지,"경상북도 칠곡군 왜관읍 금산리 773번지 0.00㎡ 중 0.00㎡ (총면적 0.00㎡ 감소, 지분면적 0.00㎡ 감소)",0.0,경상북도 칠곡군 왜관읍 금산리 773번지,"0.00㎡ 중 0.00㎡ (총면적 0.00㎡ 감소, 지분면적 0.00㎡ 감소)",35.9611925552185,128.400592866694
류성걸,본인,토지,공장용지,"대구광역시 서구 비산동 1809-1번지 1,336.00㎡ 중148.40㎡",213844.0,대구광역시 서구 비산동 1809-1번지,"1,336.00㎡ 중148.40㎡",35.888477403339,128.554495805996
류성걸,배우자,토지,공장용지,"대구광역시 서구 비산동 1809-1번지 1,336.00㎡ 중148.40㎡",213844.0,대구광역시 서구 비산동 1809-1번지,"1,336.00㎡ 중148.40㎡",35.888477403339,128.554495805996
이재정,본인,토지,과수원,경상남도 창원시 마산합포구 진전면 1380-16번지 478.00㎡중 478.00㎡,13145.0,경상남도 창원시 마산합포구 진전면 1380-16번지,478.00㎡중 478.00㎡,35.1513264294154,128.396622282238
강기윤,배우자,토지,과수원,"경상남도 창원시 성산구 사파정동 24-1번지 3,691.00㎡",530028.0,경상남도 창원시 성산구 사파정동 24-1번지,"3,691.00㎡",35.2178336705047,128.71332867842
조명희,배우자,토지,과수원,경상북도 포항시 남구 오천읍 세계리 578번지 404.00㎡,38461.0,경상북도 포항시 남구 오천읍 세계리 578번지,404.00㎡,35.9585424026884,129.43188985531
조명희,배우자,토지,과수원,경상북도 포항시 남구 오천읍 세계리 580번지 992.00㎡,99299.0,경상북도 포항시 남구 오천읍 세계리 580번지,992.00㎡,35.9588711303171,129.431136384668
조명희,배우자,토지,과수원,경상북도 포항시 남구 오천읍 세계리 581-1번지 721.00㎡,72172.0,경상북도 포항시 남구 오천읍 세계리 581-1번지,721.00㎡,35.9591950484157,129.429806268819
조명희,배우자,토지,과수원,"경상북도 포항시 남구 오천읍 세계리 581-2번지2,452.00㎡",314346.0,경상북도 포항시 남구 오천읍 세계리 581-2번지,"2,452.00㎡",35.9588188474469,129.430381866438
조명희,배우자,토지,과수원,"경상북도 포항시 남구 오천읍 세계리 606-2번지1,226.00㎡",123581.0,경상북도 포항시 남구 오천읍 세계리 606-2번지,"1,226.00㎡",35.9597210736943,129.430458508337
박덕흠,배우자,토지,과수원,"제주특별자치도 서귀포시 서홍동 1277번지 3,382.00㎡",296939.0,제주특별자치도 서귀포시 서홍동 1277번지,"3,382.00㎡",33.2556752551914,126.550655562605
한준호,배우자,토지,과수원,"제주특별자치도 제주시 도두이동 283번지 2,329.00㎡ 중776.33㎡",176071.0,제주특별자치도 제주시 도두이동 283번지,"2,329.00㎡ 중776.33㎡",33.4987069595093,126.489013600504
한준호,배우자,토지,과수원,"제주특별자치도 제주시 도두이동 284번지 1,597.00㎡ 중532.33㎡",120732.0,제주특별자치도 제주시 도두이동 284번지,"1,597.00㎡ 중532.33㎡",33.4988820015569,126.488783678288
유경준,본인,토지,구거,부산광역시 강서구 녹산동 1241-3번지 231.00㎡ 중81.00㎡,5954.0,부산광역시 강서구 녹산동 1241-3번지,231.00㎡ 중81.00㎡,35.1103793768779,128.864456450788
유경준,본인,토지,구거,부산광역시 강서구 녹산동 1241-8번지 116.00㎡ 중41.00㎡,3014.0,부산광역시 강서구 녹산동 1241-8번지,116.00㎡ 중41.00㎡,35.1096134726193,128.864571701054
소병철,배우자,토지,구거,전라남도 여수시 덕충동 1270-2번지 338.00㎡ 중 84.50㎡,9827.0,전라남도 여수시 덕충동 1270-2번지,338.00㎡ 중 84.50㎡,34.752951108797,127.737467604467
윤주경,본인,토지,답,강원도 강릉시 연곡면 송림리 272-2번지 126.00㎡,2532.0,강원도 강릉시 연곡면 송림리 272-2번지,126.00㎡,37.8535083625902,128.814540753821
윤주경,본인,토지,답,"강원도 강릉시 연곡면 송림리 272번지 3,339.00㎡",65778.0,강원도 강릉시 연곡면 송림리 272번지,"3,339.00㎡",37.8536332179519,128.81552236765
윤주경,본인,토지,답,강원도 강릉시 연곡면 송림리 273번지 601.00㎡,11839.0,강원도 강릉시 연곡면 송림리 273번지,601.00㎡,37.8536622718763,128.814543618511
윤주경,본인,토지,답,"강원도 강릉시 연곡면 송림리 275번지 2,061.00㎡",40807.0,강원도 강릉시 연곡면 송림리 275번지,"2,061.00㎡",37.8532624124478,128.814238193969
윤주경,본인,토지,답,강원도 강릉시 연곡면 송림리 276번지 469.00㎡,8770.0,강원도 강릉시 연곡면 송림리 276번지,469.00㎡,37.8529915466106,128.814289723614
최춘식,본인,토지,답,강원도 철원군 갈말읍 정연리 1123-1번지 680.00㎡,11560.0,강원도 철원군 갈말읍 정연리 1123-1번지,680.00㎡,38.2933897864315,127.347695190674
최춘식,본인,토지,답,강원도 철원군 갈말읍 정연리 1123-2번지 99.00㎡,588.0,강원도 철원군 갈말읍 정연리 1123-2번지,99.00㎡,38.2932134746931,127.34742469382
최춘식,본인,토지,답,강원도 철원군 갈말읍 정연리 1123-3번지 392.00㎡,6664.0,강원도 철원군 갈말읍 정연리 1123-3번지,392.00㎡,38.2931350061673,127.347303609233
박덕흠,배우자,토지,답,"강원도 홍천군 북방면 구만리 180-2번지 1,196.00㎡",42099.0,강원도 홍천군 북방면 구만리 180-2번지,"1,196.00㎡",37.7219599589369,127.723051082498
박덕흠,배우자,토지,답,"강원도 홍천군 북방면 원소리 299번지 2,066.00㎡",9937.0,강원도 홍천군 북방면 원소리 299번지,"2,066.00㎡",37.7310041085993,127.749147659806
박덕흠,배우자,토지,답,"강원도 홍천군 북방면 원소리 308번지 1,620.00㎡",7792.0,강원도 홍천군 북방면 원소리 308번지,"1,620.00㎡",37.7295572293998,127.748856414219
박덕흠,배우자,토지,답,"강원도 홍천군 북방면 원소리 310번지 1,395.00㎡",6709.0,강원도 홍천군 북방면 원소리 310번지,"1,395.00㎡",37.7282945560624,127.749024965406
박덕흠,배우자,토지,답,"강원도 홍천군 북방면 원소리 550-1번지 1,322.00㎡",57374.0,강원도 홍천군 북방면 원소리 550-1번지,"1,322.00㎡",37.717762544514,127.741451737407
박덕흠,배우자,토지,답,강원도 홍천군 북방면 원소리 550-5번지 276.00㎡,14848.0,강원도 홍천군 북방면 원소리 550-5번지,276.00㎡,37.7178391576064,127.741847647631
박덕흠,배우자,토지,답,"강원도 홍천군 북방면 원소리 551-2번지 1,355.00㎡",70053.0,강원도 홍천군 북방면 원소리 551-2번지,"1,355.00㎡",37.7175064188379,127.740890379052
박덕흠,배우자,토지,답,강원도 홍천군 북방면 원소리 561번지 84.50㎡,3211.0,강원도 홍천군 북방면 원소리 561번지,84.50㎡,37.7180686623235,127.740151163347
박덕흠,배우자,토지,답,강원도 홍천군 북방면 원소리 565번지 753.50㎡,26071.0,강원도 홍천군 북방면 원소리 565번지,753.50㎡,37.7189406434001,127.740288569969
이철규,본인,토지,답,"경기도 남양주시 와부읍 월문리 560-1번지 1,217.00㎡",169406.0,경기도 남양주시 와부읍 월문리 560-1번지,"1,217.00㎡",37.6059308150788,127.244167171992
이철규,본인,토지,답,"경기도 남양주시 와부읍 월문리 561-5번지 3,732.00㎡",670267.0,경기도 남양주시 와부읍 월문리 561-5번지,"3,732.00㎡",37.6057979120627,127.243691203617
김학용,본인,토지,답,"경기도 안성시 공도읍 양기리 363-5번지 4,076.00㎡",258826.0,경기도 안성시 공도읍 양기리 363-5번지,"4,076.00㎡",36.9995992813816,127.199711974255
김학용,본인,토지,답,"경기도 안성시 공도읍 양기리 381-1번지 1,428.00㎡",193780.0,경기도 안성시 공도읍 양기리 381-1번지,"1,428.00㎡",36.9997345479735,127.19695304116
김학용,본인,토지,답,"경기도 안성시 보개면 오두리 303번지 1,243.00㎡",115000.0,경기도 안성시 보개면 오두리 303번지,"1,243.00㎡",37.0442584453642,127.320824429815
